Word,Sense_count
9th,1
a-ok,1
a-okay,1
a-one,1
a.m.,1
a_capella,1
a_cappella,1
a_couple_of,1
a_few,1
a_la_carte,1
a_la_mode,1
a_posteriori,2
a_priori,2
abactinal,1
abandoned,2
abashed,1
abasic,1
abatable,1
abatic,1
abaxial,1
abbatial,1
abbreviated,2
abdicable,1
abdominal,1
abdominous,1
abdominovesical,1
abducent,1
abducting,1
abecedarian,1
aberdonian,1
aberrant,1
abeyant,1
abhorrent,1
abiding,1
abient,1
abiogenetic,1
abject,4
abkhaz,1
abkhazian,1
ablated,1
ablative,2
ablaze,4
able,4
able-bodied,1
abloom,1
ablutionary,1
abnaki,1
abnormal,3
abolishable,1
abolitionary,1
abomasal,1
abominable,2
aboral,1
aboriginal,2
abortifacient,1
abortive,1
aboulic,1
abounding,1
about,1
above,1
above-mentioned,1
above-named,1
aboveboard,1
aboveground,1
abranchial,1
abranchiate,1
abranchious,1
abrasive,2
abreast,1
abridged,1
abroach,1
abroad,1
abrupt,4
abruptly-pinnate,1
abscessed,1
absent,3
absentminded,1
absolute,5
absolutist,1
absolutistic,1
absolved,1
absolvitory,1
absorbable,1
absorbed,2
absorbefacient,1
absorbent,1
absorbing,1
absorptive,1
abstemious,2
abstentious,1
abstinent,1
abstract,3
abstracted,1
abstractionist,1
abstractive,1
abstruse,1
absurd,2
abulic,1
abundant,1
abused,2
abusive,2
abuzz,1
abysmal,2
abyssal,2
academic,3
acanthoid,1
acanthotic,1
acanthous,1
acapnial,1
acapnic,1
acapnotic,1
acarpellous,1
acarpelous,1
acarpous,1
acatalectic,1
acaudal,1
acaudate,1
acaulescent,1
accelerando,1
accelerated,1
accelerative,1
acceleratory,1
accented,2
accentual,2
acceptable,4
acceptant,1
accepted,1
accepting,1
acceptive,2
accessary,1
accessible,4
accessional,1
accessorial,1
accessory,2
accident-prone,1
accidental,2
accipitrine,1
acclivitous,1
accommodating,2
accommodational,1
accommodative,3
accompanied,2
accompanying,1
accomplishable,1
accomplished,3
accordant,2
according,2
accountable,1
accoutered,1
accoutred,1
accredited,1
accretionary,1
accretive,1
accrued,1
acculturational,1
acculturative,1
accumbent,1
accumulated,1
accumulative,2
accurate,2
accursed,1
accurst,1
accusative,2
accusatorial,1
accusatory,1
accusing,1
accusive,1
accustomed,1
accustomed_to,1
ace,1
acellular,1
acentric,2
acephalous,1
acerate,1
acerb,2
acerbic,2
acerose,1
acervate,1
acetabular,1
acetic,1
acetonic,1
acetose,1
acetous,1
acetylenic,1
acetylic,1
achaean,1
achenial,1
acheronian,1
acherontic,1
achievable,1
aching,1
achlamydeous,1
achlorhydric,1
achondritic,2
achondroplastic,1
achromatic,1
achromatinic,1
achromatous,1
achromic,1
achromous,1
achy,1
acicular,1
aciculate,1
acid,3
acid-fast,1
acid-forming,1
acid-loving,1
acid-tasting,1
acidic,2
acidimetric,1
acidophilic,1
acidophilous,1
acidotic,1
acidulent,1
acidulous,1
aciduric,1
acinar,2
acinic,1
acinose,1
acinous,1
acknowledgeable,1
acknowledged,2
acned,1
acneiform,1
acold,1
acorn-shaped,1
acoustic,1
acoustical,1
acquainted,1
acquiescent,1
acquirable,1
acquired,1
acquisitive,1
acquitted,1
acrid,2
acrimonious,1
acritical,1
acrobatic,1
acrocarpous,1
acrocentric,1
acrogenic,1
acrogenous,1
acromegalic,1
acronymic,1
acronymous,1
acropetal,1
acrophobic,1
acroscopic,1
across-the-board,1
actable,1
actinal,1
acting,1
actinic,1
actinoid,1
actinometric,1
actinometrical,1
actinomorphic,1
actinomorphous,1
actinomycetal,1
actinomycetous,1
actinomycotic,1
actionable,1
activated,4
activating,1
active,14
activist,1
activistic,1
actual,5
actuarial,1
actuated,1
actuating,1
acuate,1
aculeate,1
aculeated,1
acuminate,1
acute,6
acyclic,2
ad-lib,2
ad_hoc,2
ad_hominem,1
adactylous,1
adagio,1
adamant,1
adamantine,3
adaptable,1
adaptational,1
adaptative,1
adapted,1
adaptive,1
adaxial,1
addable,1
addible,1
addicted,1
addictive,1
additional,1
additive,2
addlebrained,1
addled,2
addlepated,1
addressable,1
addressed,1
adducent,1
adducting,1
adductive,1
adenocarcinomatous,1
adenoid,1
adenoidal,2
adept,1
adequate,3
adequate_to,1
adherent,1
adhesive,1
adiabatic,1
adient,1
adipose,1
adjacent,3
adjectival,1
adjective,2
adjudicative,1
adjudicatory,1
adjunct,2
adjunctive,1
adjuratory,2
adjustable,2
adjusted,4
adjustive,1
adjuvant,2
administrable,1
administrative,1
admirable,2
admired,1
admissible,1
admissive,1
admittable,1
admittible,1
admonishing,1
admonitory,2
adnate,1
adnexal,1
adolescent,4
adonic,2
adoptable,1
adopted,1
adoptive,2
adorable,1
adored,1
adoring,2
adorned,1
adpressed,1
adrenal,2
adrenergic,1
adrenocortical,1
adrenocorticotrophic,1
adrenocorticotropic,1
adrift,2
adroit,1
adscititious,2
adscript,2
adscripted,1
adsorbable,1
adsorbate,1
adsorbent,1
adsorptive,1
adulatory,1
adult,2
adulterant,1
adulterate,1
adulterated,1
adulterating,1
adulterine,1
adulterous,2
adumbrative,1
adust,2
advance,2
advanced,8
advancing,1
advantageous,2
advective,1
adventitial,1
adventitious,1
adventive,1
adventuresome,1
adventuristic,1
adventurous,1
adverbial,1
adversative,1
adverse,2
advertent,1
advertised,1
advisable,1
advised,2
advisory,1
adynamic,2
aecial,1
aegean,2
aeolian,2
aeolotropic,1
aeonian,2
aerated,2
aerial,2
aeriferous,1
aeriform,2
aerobic,2
aerobiotic,1
aerodynamic,2
aerolitic,1
aerological,1
aeromechanic,1
aeromedical,1
aeronautic,1
aeronautical,1
aerophilatelic,1
aerophilic,1
aerophilous,1
aerosolised,1
aerosolized,1
aery,1
aeschylean,1
aesculapian,1
aesthetic,3
aesthetical,1
aestival,1
aetiologic,2
aetiological,2
afeard,1
afeared,1
afebrile,1
affable,1
affected,3
affecting,1
affectional,1
affectionate,1
affective,1
afferent,1
affiliated,1
affinal,1
affine,2
affined,1
affirmable,1
affirmative,3
affirmatory,1
affixal,1
affixed,1
affixial,1
afflicted,2
afflictive,1
affluent,1
affordable,1
afghan,1
afghani,1
afghanistani,1
afire,1
aflame,2
aflare,2
aflicker,1
afloat,3
aflutter,1
afoot,2
aforementioned,1
aforesaid,1
aforethought,1
afoul,1
afraid,4
african,1
african-american,1
afrikaans,1
afrikaner,1
afro-american,1
afro-asian,1
aft,1
after,1
after-hours,1
after-school,1
aftermost,1
aftershafted,1
agamic,1
agamogenetic,1
agamous,1
agape,1
agaze,1
age-old,1
age-related,1
aged,5
ageing,1
ageless,1
agelong,1
agential,1
agglomerate,1
agglomerated,1
agglomerative,1
agglutinate,1
agglutinative,2
aggravated,2
aggravating,1
aggregate,2
aggregated,1
aggregative,1
aggressive,3
aghast,1
agile,2
aging,1
agitated,2
agitating,1
agitative,1
agleam,1
aglitter,1
aglow,1
agnate,1
agnatic,1
